record_id,timestamp_received,logistic_pred,svm_pred,rf_pred,final_vote,confidence_score
REC_16101,2026-05-17T11:14:08.227612,0,0,0,0,0.9262
REC_16102,2026-05-17T11:14:08.277599,0,0,0,0,0.9786
REC_16103,2026-05-17T11:14:08.329297,0,0,0,0,0.9785
REC_16104,2026-05-17T11:14:08.379543,0,0,0,0,0.9734
REC_16105,2026-05-17T11:14:08.430185,0,0,0,0,0.8269
REC_16106,2026-05-17T11:14:08.482584,0,0,0,0,0.9793
REC_16107,2026-05-17T11:14:08.532180,0,0,0,0,0.9746
REC_16108,2026-05-17T11:14:08.581893,0,0,0,0,0.9974
REC_16109,2026-05-17T11:14:08.632851,0,0,0,0,0.9767
REC_16110,2026-05-17T11:14:08.683693,0,0,0,0,0.9934
REC_16111,2026-05-17T11:14:08.733316,0,0,0,0,0.9955
REC_16112,2026-05-17T11:14:08.784214,0,0,0,0,0.9832
REC_16113,2026-05-17T11:14:08.835169,0,0,0,0,0.9753
REC_16114,2026-05-17T11:14:08.885836,0,0,0,0,0.9905
REC_16115,2026-05-17T11:14:08.937485,0,0,0,0,0.9877
REC_16116,2026-05-17T11:14:08.987881,0,0,0,0,0.9978
REC_16117,2026-05-17T11:14:09.039003,0,0,0,0,0.9223
REC_16118,2026-05-17T11:14:09.089681,0,0,0,0,0.9795
REC_16119,2026-05-17T11:14:09.140762,0,0,0,0,0.9971
REC_16120,2026-05-17T11:14:09.190725,0,0,0,0,0.9961
REC_16121,2026-05-17T11:14:09.241852,0,0,0,0,0.9793
REC_16122,2026-05-17T11:14:09.293391,0,0,0,0,0.9967
REC_16123,2026-05-17T11:14:09.344577,0,0,0,0,0.9784
REC_16124,2026-05-17T11:14:09.395338,0,0,0,0,0.9921
REC_16125,2026-05-17T11:14:09.446108,0,0,0,0,0.9869
REC_16126,2026-05-17T11:14:09.496779,0,0,0,0,0.9793
REC_16127,2026-05-17T11:14:09.546269,0,0,0,0,0.8558
REC_16128,2026-05-17T11:14:09.597267,0,0,0,0,0.9962
REC_16129,2026-05-17T11:14:09.648406,0,0,0,0,0.9941
REC_16130,2026-05-17T11:14:09.698989,0,0,0,0,0.9893
REC_16131,2026-05-17T11:14:09.750282,0,0,0,0,0.9967
REC_16132,2026-05-17T11:14:09.802078,0,0,0,0,0.9981
REC_16133,2026-05-17T11:14:09.851958,0,0,0,0,0.9974
REC_16134,2026-05-17T11:14:09.903132,0,0,0,0,0.9972
REC_16135,2026-05-17T11:14:09.954129,0,0,0,0,0.9944
REC_16136,2026-05-17T11:14:10.005112,0,0,0,0,0.9465
REC_16137,2026-05-17T11:14:10.055350,0,0,0,0,0.9784
REC_16138,2026-05-17T11:14:10.105467,0,0,0,0,0.9793
REC_16139,2026-05-17T11:14:10.156264,0,0,0,0,0.9793
REC_16140,2026-05-17T11:14:10.208223,0,0,0,0,0.9648
REC_16141,2026-05-17T11:14:10.258217,0,0,0,0,0.9428
REC_16142,2026-05-17T11:14:10.309494,0,0,0,0,0.9789
REC_16143,2026-05-17T11:14:10.359062,0,0,0,0,0.9791
REC_16144,2026-05-17T11:14:10.410172,0,0,0,0,0.9872
REC_16145,2026-05-17T11:14:10.461122,0,0,0,0,0.9786
REC_16146,2026-05-17T11:14:10.511892,0,0,0,0,0.9868
REC_16147,2026-05-17T11:14:10.562184,0,0,0,0,0.9977
REC_16148,2026-05-17T11:14:10.612623,0,0,0,0,0.9850
REC_16149,2026-05-17T11:14:10.663902,0,0,0,0,0.9838
REC_16150,2026-05-17T11:14:10.714796,0,0,0,0,0.9960
REC_16151,2026-05-17T11:14:10.766403,1,0,0,0,0.6908
REC_16152,2026-05-17T11:14:10.815548,0,0,0,0,0.9970
REC_16153,2026-05-17T11:14:10.866291,0,0,0,0,0.9793
REC_16154,2026-05-17T11:14:10.918882,0,0,0,0,0.9786
REC_16155,2026-05-17T11:14:10.969104,0,0,0,0,0.9790
REC_16156,2026-05-17T11:14:11.018958,0,0,0,0,0.9957
REC_16157,2026-05-17T11:14:11.070109,0,0,0,0,0.9976
REC_16158,2026-05-17T11:14:11.121826,0,0,0,0,0.9683
REC_16159,2026-05-17T11:14:11.171069,0,0,0,0,0.9129
REC_16160,2026-05-17T11:14:11.221826,0,0,0,0,0.9818
REC_16161,2026-05-17T11:14:11.271751,0,0,0,0,0.9935
REC_16162,2026-05-17T11:14:11.323599,0,0,0,0,0.9791
REC_16163,2026-05-17T11:14:11.374751,0,0,0,0,0.9977
REC_16164,2026-05-17T11:14:11.424793,0,0,0,0,0.9786
REC_16165,2026-05-17T11:14:11.475071,0,0,0,0,0.9789
REC_16166,2026-05-17T11:14:11.526626,0,0,0,0,0.9754
REC_16167,2026-05-17T11:14:11.576449,0,0,0,0,0.9793
REC_16168,2026-05-17T11:14:11.626822,0,0,0,0,0.9786
REC_16169,2026-05-17T11:14:11.677837,0,0,0,0,0.9738
REC_16170,2026-05-17T11:14:11.729013,0,0,0,0,0.9809
REC_16171,2026-05-17T11:14:11.780240,0,0,0,0,0.9981
REC_16172,2026-05-17T11:14:11.830821,0,0,0,0,0.9931
REC_16173,2026-05-17T11:14:11.881414,0,0,0,0,0.9793
REC_16174,2026-05-17T11:14:11.932244,0,0,0,0,0.9982
REC_16175,2026-05-17T11:14:11.983255,0,0,0,0,0.9896
REC_16176,2026-05-17T11:14:12.034418,0,0,0,0,0.9972
REC_16177,2026-05-17T11:14:12.085581,0,0,0,0,0.9510
REC_16178,2026-05-17T11:14:12.135876,0,0,0,0,0.9979
REC_16179,2026-05-17T11:14:12.185589,0,0,0,0,0.9968
REC_16180,2026-05-17T11:14:12.237289,0,0,0,0,0.9779
REC_16181,2026-05-17T11:14:12.288581,0,0,0,0,0.9793
REC_16182,2026-05-17T11:14:12.337508,0,0,0,0,0.9789
REC_16183,2026-05-17T11:14:12.387721,0,0,0,0,0.9795
REC_16184,2026-05-17T11:14:12.441286,0,0,0,0,0.9718
REC_16185,2026-05-17T11:14:12.492014,0,0,0,0,0.9793
REC_16186,2026-05-17T11:14:12.542243,0,0,0,0,0.9775
REC_16187,2026-05-17T11:14:12.593281,0,0,0,0,0.9876
REC_16188,2026-05-17T11:14:12.643799,0,0,0,0,0.9786
REC_16189,2026-05-17T11:14:12.696281,0,0,0,0,0.9591
REC_16190,2026-05-17T11:14:12.746816,0,0,0,0,0.9975
REC_16191,2026-05-17T11:14:12.796862,0,0,0,0,0.9862
REC_16192,2026-05-17T11:14:12.847574,0,0,0,0,0.9786
REC_16193,2026-05-17T11:14:12.898595,0,0,0,0,0.9793
REC_16194,2026-05-17T11:14:12.948623,0,0,0,0,0.9789
REC_16195,2026-05-17T11:14:12.998643,0,0,0,0,0.9788
REC_16196,2026-05-17T11:14:13.049420,0,0,0,0,0.9065
REC_16197,2026-05-17T11:14:13.100816,0,0,0,0,0.9748
REC_16198,2026-05-17T11:14:13.150870,0,0,0,0,0.8977
REC_16199,2026-05-17T11:14:13.201672,1,0,0,0,0.6450
REC_16200,2026-05-17T11:14:13.253011,0,0,0,0,0.9791
REC_16201,2026-05-17T11:14:13.302656,0,0,0,0,0.9789
REC_16202,2026-05-17T11:14:13.354202,1,0,0,0,0.8041
REC_16203,2026-05-17T11:14:13.405220,0,0,0,0,0.9782
REC_16204,2026-05-17T11:14:13.454940,0,0,0,0,0.9751
REC_16205,2026-05-17T11:14:13.506652,0,0,0,0,0.9926
REC_16206,2026-05-17T11:14:13.556415,0,0,0,0,0.9944
REC_16207,2026-05-17T11:14:13.607370,0,0,0,0,0.9765
REC_16208,2026-05-17T11:14:13.658505,0,0,0,0,0.9872
REC_16209,2026-05-17T11:14:13.709587,0,0,0,0,0.9630
REC_16210,2026-05-17T11:14:13.761407,0,0,0,0,0.9768
REC_16211,2026-05-17T11:14:13.811667,0,0,0,0,0.9463
REC_16212,2026-05-17T11:14:13.861755,0,0,0,0,0.9856
REC_16213,2026-05-17T11:14:13.912819,0,0,0,0,0.9874
REC_16214,2026-05-17T11:14:13.963045,0,0,0,0,0.9252
REC_16215,2026-05-17T11:14:14.013943,0,0,0,0,0.9853
REC_16216,2026-05-17T11:14:14.065089,0,0,0,0,0.9100
REC_16217,2026-05-17T11:14:14.115873,0,0,0,0,0.9938
REC_16218,2026-05-17T11:14:14.165386,0,0,0,0,0.7985
REC_16219,2026-05-17T11:14:14.216530,0,0,0,0,0.9938
REC_16220,2026-05-17T11:14:14.266611,0,0,0,0,0.9857
REC_16221,2026-05-17T11:14:14.318307,0,0,0,0,0.9938
REC_16222,2026-05-17T11:14:14.368286,0,0,0,0,0.9776
REC_16223,2026-05-17T11:14:14.418299,0,0,0,0,0.9874
REC_16224,2026-05-17T11:14:14.469494,0,0,0,0,0.9710
REC_16225,2026-05-17T11:14:14.519627,0,0,0,0,0.9794
REC_16226,2026-05-17T11:14:14.570142,0,0,0,0,0.9573
REC_16227,2026-05-17T11:14:14.621523,0,0,0,0,0.9744
REC_16228,2026-05-17T11:14:14.671436,0,0,0,0,0.9803
REC_16229,2026-05-17T11:14:14.722342,0,0,0,0,0.9950
REC_16230,2026-05-17T11:14:14.773436,0,0,0,0,0.9919
REC_16231,2026-05-17T11:14:14.824614,0,0,0,0,0.9816
REC_16232,2026-05-17T11:14:14.874588,0,0,0,0,0.8744
REC_16233,2026-05-17T11:14:14.925733,0,0,0,0,0.9825
REC_16234,2026-05-17T11:14:14.976466,0,0,0,0,0.9873
REC_16235,2026-05-17T11:14:15.027588,0,0,0,0,0.9819
REC_16236,2026-05-17T11:14:15.077396,0,0,0,0,0.9898
REC_16237,2026-05-17T11:14:15.128488,0,0,0,0,0.9651
REC_16238,2026-05-17T11:14:15.179041,0,0,0,0,0.9737
REC_16239,2026-05-17T11:14:15.231142,0,0,0,0,0.9889
REC_16240,2026-05-17T11:14:15.282398,0,0,0,0,0.9916
REC_16241,2026-05-17T11:14:15.333143,0,0,0,0,0.9909
REC_16242,2026-05-17T11:14:15.384997,0,0,0,0,0.9893
REC_16243,2026-05-17T11:14:15.434513,0,0,0,0,0.9895
REC_16244,2026-05-17T11:14:15.485461,0,0,0,0,0.9889
REC_16245,2026-05-17T11:14:15.539343,0,0,0,0,0.9846
REC_16246,2026-05-17T11:14:15.586095,0,0,0,0,0.9631
REC_16247,2026-05-17T11:14:15.636915,0,0,0,0,0.9885
REC_16248,2026-05-17T11:14:15.687340,0,0,0,0,0.9343
REC_16249,2026-05-17T11:14:15.738773,0,0,0,0,0.9965
REC_16250,2026-05-17T11:14:15.788599,0,0,0,0,0.9906
REC_16251,2026-05-17T11:14:15.840086,0,0,0,0,0.9832
REC_16252,2026-05-17T11:14:15.890349,0,0,0,0,0.9806
REC_16253,2026-05-17T11:14:15.940767,0,0,0,0,0.9940
REC_16254,2026-05-17T11:14:15.991788,0,0,0,0,0.9762
REC_16255,2026-05-17T11:14:16.042246,0,0,0,0,0.9846
REC_16256,2026-05-17T11:14:16.092519,0,0,0,0,0.9906
REC_16257,2026-05-17T11:14:16.143588,0,0,0,0,0.9674
REC_16258,2026-05-17T11:14:16.194267,0,0,0,0,0.9762
REC_16259,2026-05-17T11:14:16.245251,0,0,0,0,0.9856
REC_16260,2026-05-17T11:14:16.296135,0,0,0,0,0.9813
REC_16261,2026-05-17T11:14:16.345951,0,0,0,0,0.9919
REC_16262,2026-05-17T11:14:16.397648,0,0,0,0,0.9920
