record_id,kafka_transit_ms,inference_ms,e2e_ms
REC_785,2.011,7.004,9.015
REC_786,1.512,7.998,9.510
REC_787,2.007,7.999,10.006
REC_788,2.222,8.003,10.225
REC_789,1.005,7.998,9.003
REC_790,2.009,10.001,12.010
REC_791,2.005,7.999,10.004
REC_792,2.005,7.001,9.006
REC_793,2.013,8.000,10.013
REC_794,2.097,7.999,10.096
REC_795,2.026,6.984,9.010
REC_796,1.103,7.973,9.076
REC_797,2.005,6.998,9.003
REC_798,2.011,7.004,9.015
REC_799,1.508,8.087,9.595
REC_800,2.006,8.254,10.260
REC_801,2.012,7.515,9.527
REC_802,2.007,8.538,10.545
REC_803,1.398,9.005,10.403
REC_804,2.269,8.900,11.169
REC_805,2.009,8.019,10.028
REC_806,1.624,8.300,9.924
REC_807,2.022,8.001,10.023
REC_808,2.065,8.000,10.065
REC_809,1.485,7.998,9.483
REC_810,1.606,9.472,11.078
REC_811,2.003,8.012,10.015
REC_812,2.018,8.011,10.029
REC_813,2.008,8.013,10.021
REC_814,2.005,8.006,10.011
